T_spec,Rated_speed_spec,Bmr,delta,m,so,d0,Lmagn,h4,h3,max_OL,max_OL_analytical
90.9979155270877,5116.64328299269,0.487505920444724,39397.1954410886,1.97595483098015,0.00629043146877228,0.000850926110229165,0.51248012875811,0.00166381856399092,0.00363014380847105,0,1.14980035594324
96.8308470577076,2226.23995548032,1.11770053790034,37152.3328469353,1.5747903027545,0.00375734179378304,0.00149654613888639,8.21950840445044,0.00179133333324918,0.00302782403372081,11,13.1606076736677
102.586168242363,2589.83383982716,0.81878284663311,18766.0478765734,2.10407416487292,0.00655675516402576,0.00119232583767319,1.98861195148611,0.00177280717374993,0.00384011307747709,3,3.70269683218022
111.253692887075,3163.6925095584,0.528682753846237,22063.0893370953,2.16307588616323,0.00659647089080431,0.00126317521986591,0.867448661860272,0.00162869187872137,0.00269163299956635,0,0.036689768382054
172.367321243468,4311.02834980535,0.9493900176525,33858.4257279423,1.57051333842952,0.00428712281962721,0.00140554195794229,3.65251341421249,0.00226148560671144,0.00233537342704827,3,3.61574386509991
214.40789564531,4464.99437512941,0.869375394382228,31556.7827332196,1.42017562414471,0.00432222315205795,0.00120714727052015,2.37286802047387,0.00244467879165117,0.00361914597545525,1,1.36815843409249
127.609065536532,5036.5054669996,1.10383110544316,37617.5783808215,1.68371262900184,0.00530465646585996,0.000954503525895744,4.85896575140353,0.00195929268792463,0.00243402513644427,5,6.20395773546441
109.149644672483,3274.94539436365,0.786245572883001,41469.5338709585,1.39531108699438,0.00389685712043448,0.00154010001369111,2.31879651083989,0.00191441796237654,0.00218335036922526,1,1.40826647510533
165.426463407312,4239.25523151789,0.67539576576752,19686.842050369,1.19501380982749,0.00436572405674059,0.0011363000781596,1.22051164455134,0.00141972211592606,0.0025012126928665,0,0.330824092182828
161.778759153516,2580.49252920033,0.848025343458383,47841.0656377227,1.57020857810845,0.00507397540781401,0.00097453928483516,1.78570470931209,0.00217368412344317,0.00337618463581807,0,0.19061133881812
211.993024145886,4536.64355754824,0.59729011269961,23133.6030602527,1.25303525994419,0.00562904782982068,0.000894704635378511,0.759199378585325,0.00144946660625014,0.00332289043220398,0,0.811000080388123
208.638375649618,2919.57068458124,1.00631908761119,23238.5487994503,0.795811419456955,0.00585425991128612,0.00120001884589577,3.8879644644557,0.00256661113329431,0.00323071996168737,4,3.91942473065748
102.438370412237,2589.76203699051,1.13189464573675,18792.690027303,1.48485208276834,0.0038377450098879,0.00160209174569857,9.55152956531059,0.00200066027381678,0.00293928558653807,11,24.4918262684794
153.247476369643,2088.55509023303,1.0820894022085,46528.4358408594,1.83365938855026,0.00377452904867288,0.00133406841244298,6.0719997455203,0.00266216437666941,0.00331288213469595,6,6.5492990529272
87.5204722288371,2216.09852662507,0.626455357641789,28717.1344765616,1.9970696142586,0.00606177537060854,0.000830795790502711,0.770072876024376,0.00203762616271161,0.00282527888265465,0,0.34482674205043
77.3230688454028,5194.22303532704,0.615342609660379,19168.2674825975,1.30861461008331,0.00394341440890041,0.00119133761593346,1.06779200914606,0.00263228265068882,0.00388269728365678,1,0.738011131069428
157.180635182227,5049.57944496927,0.823797699314802,46400.0178529761,1.2021824230681,0.00570384564565324,0.00133972463533092,2.27043616286748,0.00227734772825243,0.00334970861814543,1,0.636781496885268
159.179968906449,4836.53275158134,0.960836881241379,24503.574650118,1.30337481909584,0.00486254078041144,0.00160457587881543,4.35109351546514,0.00249773192818428,0.00330400552742718,5,6.05485587637217
93.0917419945743,3813.27619643271,0.689522484806194,27370.1180310809,1.62447957412151,0.0041313214286531,0.00102397015799266,1.14765364818982,0.00167139327373404,0.00368119016004655,1,0.38112155901696
91.1653522865615,4922.07852727406,1.11320219472015,42961.1051375536,1.1410919985832,0.00533024687732516,0.000798910577901795,4.27925915486355,0.00173780644154886,0.00228911796305468,4,4.70460569856995
145.63863845375,4185.82259655563,1.01074944081499,35673.8928300549,0.800405754099644,0.00349082134691318,0.00104846377755162,3.45933895810949,0.00221622399085989,0.00280600031378642,2,2.56097080605738
90.8443804993533,3888.3553056117,1.04225459269174,29562.7678024397,0.886234928681159,0.00418265021772675,0.000909071642776698,3.43233313801086,0.00191611919460241,0.00305699975769737,4,4.27555089085517
170.656364710826,5101.92878944554,0.643161424309174,39174.1686477037,1.18359685751172,0.00560132857894975,0.00136391801962346,1.32954328703725,0.00165670621923581,0.00242048406473086,0,0.412564612711953
176.29980986205,1773.50360011467,0.939564910814283,31629.2326558397,2.12398686619714,0.00325402869995188,0.00116845729376356,2.92924307514152,0.00194528291244055,0.00356733543007808,3,3.1072779991679
101.38116235253,4276.15311686886,0.879992226875131,20764.8432415437,1.26168691057366,0.00537586224818922,0.00094106601458791,1.91666705470832,0.00163998943764544,0.0038765911183037,2,2.49653726011936
88.6670195529802,3766.73283232052,1.01093751456807,34004.0948971213,1.38859326280678,0.00550554973500968,0.00132399880934505,4.37184301035961,0.00219010139471972,0.00393486563752974,5,6.29726327779091
166.095591102845,3325.48193938064,0.841120883122181,39533.037266181,1.90542827220549,0.00447576304704387,0.00133608806262167,2.39391810980577,0.00247870081376783,0.00369912532005795,1,1.4835877858317
205.491154853701,2676.72659266471,0.761126800934824,20804.6294639791,2.15974420551738,0.00550943156240383,0.00118274910895707,1.64766644174734,0.00206260255473747,0.00330935410861557,1,1.4534815501449
107.801494859945,2120.2939563758,0.610276626897978,16842.8897378914,1.35686999378644,0.00481930519223273,0.00108728558854406,0.959698172636246,0.00217905493145984,0.00357115880966391,1,0.406886274789114
